serial_num,complex_name,facility_num,facility_name
,,,
1,Peddem Sports Complex,1,Open Field (outdoor)/ Cricket 
1,Peddem Sports Complex,2,Hockey Astro Turf
1,Peddem Sports Complex,3,Athletic Track/ Grass Ground
1,Peddem Sports Complex,4,a) Conference hall & other rooms
1,Peddem Sports Complex,5,Swimming Pool
1,Peddem Sports Complex,6,a) Learn to Swim Classes
1,Peddem Sports Complex,7,b) Learn to swim and life saving
2,Athletic Stadium Bambolim,1,Athletic Track
2,Athletic Stadium Bambolim,2,a) Conference hall & other rooms
2,Athletic Stadium Bambolim,3,Football play field 
2,Athletic Stadium Bambolim,4,Gymnasium 
3,Multipurpose Indoor Stadium (Peddem),1,Full
4,Dr. Shyama Prasad Mukherjee Indoor Stadium,1,Full
5,"Multipurpose Indoor,Campal",1, Indoor hall (Badminton)
5,"Multipurpose Indoor,Campal",2,Indoor hall (TT)
5,"Multipurpose Indoor,Campal",3, Indoor hall (Weightlifting)
5,"Multipurpose Indoor,Campal",4,Open Field (outdoor)
5,"Multipurpose Indoor,Campal",5,D.B Bandodkar Football Ground 
5,"Multipurpose Indoor,Campal",6,Campal Swimming Pool
5,"Multipurpose Indoor,Campal",7,a) Learn to Swim Classes
5,"Multipurpose Indoor,Campal",8,b) Learn to swim and life saving 
6,Manohar Parrikar indoor Stadium Navelim ,1,Badminton
6,Manohar Parrikar indoor Stadium Navelim ,2,Taekwondo
6,Manohar Parrikar indoor Stadium Navelim ,3,Handball
6,Manohar Parrikar indoor Stadium Navelim ,4,Basketball
7,Multipurpose Hall Fatorda,1, Badminton
7,Multipurpose Hall Fatorda,2, Taekwondo
7,Multipurpose Hall Fatorda,3,Table Tennis 
7,Multipurpose Hall Fatorda,4, Gymnastics
7,Multipurpose Hall Fatorda,5,Chess
8,Indoor Hall Ponda/ Sports Complex Ponda ,1, Badminton
8,Indoor Hall Ponda/ Sports Complex Ponda ,2, Taekwondo
8,Indoor Hall Ponda/ Sports Complex Ponda ,3,Judo 
8,Indoor Hall Ponda/ Sports Complex Ponda ,4, Table Tennis
8,Indoor Hall Ponda/ Sports Complex Ponda ,5, Archery 
8,Indoor Hall Ponda/ Sports Complex Ponda ,6, Cricket
8,Indoor Hall Ponda/ Sports Complex Ponda ,7,Athletics 
9,Swimming Pool Fatorda,1,Swimming Pool
9,Swimming Pool Fatorda,2,a) Learn to Swim Classes
9,Swimming Pool Fatorda,3,b) Use of swimming pool (10.00 to 2:00 pm) Only through booking ? 5000
10,Assolna Ground ,1,Full
11,Tilak Maidan,1,Gymnasium
12,Agonda Sports Complex ,1,Full
13,Benaulim Ground,1,Full
14,Utorda Ground ,1,Full
15,Fatorda Multipurpose Indoor Stadium ,1,Full
16,PJN Stadium Fatorda ,1,Full
17,Fatorda Open Sports Complex,1, Cricket 
17,Fatorda Open Sports Complex,2, Athletics 
17,Fatorda Open Sports Complex,3, Boxing 
17,Fatorda Open Sports Complex,4,Roller Skating 
